Symbol,Price_Increase_Percentage,Screeners,MVP_Last_6Mo,IBD_RSI,Nr_Of_Spikes,Volume-Acceleration(%),RSI_12M,RSI_3M,RSI_6M,Price_Tightness_1W
VEEV,65.3421007879372,6,,85,1,,82.14686728048505,79.16264478764478,79.16264478764478,5.598601206801969
ASND,64.73129894679988,5,,86,,,86.64067309665504,82.87615974183133,86.64067309665504,8.01560758082497
ISNPY,64.31802076447116,5,,86,,,92.00913242009136,92.00913242009136,92.00913242009136,3.901591895803181
SMSMY,63.88012618296531,6,,85,,146.14,93.87755102040816,93.87755102040816,93.87755102040816,7.058823529411754
PAC,63.70208702769064,5,,87,,,81.95571955719558,81.95571955719558,81.95571955719558,5.066244479626696
DTEGY,62.412896515860616,5,,81,,,91.58075601374578,74.89469250210618,85.66666666666667,3.867827868852454
ALIZY,62.22641509433963,5,,81,,,92.8104575163399,90.29585798816575,90.29585798816575,2.3457734145679523
BNPQY,62.115451088835115,5,,83,,,84.30851063829793,84.11386593204773,84.11386593204773,3.2983174574913185
SSREY,61.689655172413794,5,,79,,,99.10394265232974,80.0166527893422,83.72641509433966,3.7159920371599195
SBS,61.37404580152672,5,,84,,,94.14758269720109,94.14758269720109,94.14758269720109,3.2882011605415844
TXNM,61.10798650168727,6,,84,,94.04,92.08633093525184,83.70253164556961,85.96750369276222,1.2451771308312887
CFRUY,61.10260336906583,5,,74,,,93.12267657992564,82.57142857142858,93.12267657992564,3.287380699893961
BHKLY,60.72838177251525,5,,87,,,79.19725893294176,79.19725893294176,79.19725893294176,7.04475945976114
RGLD,60.19044437019713,5,,82,,,96.3267543859649,91.54481881754619,91.54481881754619,7.312653235262764
USFD,59.12087912087913,5,,83,,,91.37554585152833,90.06578947368426,90.06578947368426,3.4639123315279003
MMM,59.11866476694483,5,,72,,,91.3202042304888,77.23523589574397,90.31886285055701,4.2161799261497155
NFG,58.91005091457664,5,,85,,,91.82222222222221,87.0772946859904,91.82222222222221,3.9753174320635987
TBPH,58.87096774193547,6,,80,1,,86.231884057971,86.231884057971,86.231884057971,15.651438240270723
FORTY,58.775981524249424,5,,87,,,100.0,94.62851405622487,94.62851405622487,0.0
CAAP,58.43179377013964,5,,77,,,88.78281622911693,82.98319327731095,82.98319327731095,4.07088122605363
ORANY,58.12500000000001,5,,82,,,87.29641693811075,71.89349112426032,87.29641693811075,2.9790115098171936
BMI,57.908367762224835,7,,81,1,54.21,90.17763845350053,90.17763845350053,90.17763845350053,4.268197438300523
SIEGY,57.6636087235668,5,,78,,,86.68197474167626,82.34735843087631,84.27707531610776,4.072059444263039
AXAHY,57.60309278350516,6,,84,,59.88,93.87129724208374,93.87129724208374,93.87129724208374,3.066230580539657
MCK,57.404018001335025,5,,78,,,92.33545647558384,92.27053140096614,92.27053140096614,3.943130832117604
NC,57.40373163953949,5,,79,,,87.218045112782,75.77092511013224,86.48648648648651,5.987394957983196
HSBC,57.01598579040854,5,,82,,,86.18376928236086,86.18376928236086,86.18376928236086,2.3797719385225546
SSBK,56.14035087719298,6,,71,,74.46,94.8626045400239,83.98203592814363,83.98203592814363,4.3877258388299225
BWB,55.32319391634981,7,1,73,,90.46,83.72641509433963,83.64055299539169,83.64055299539169,5.901639344262297
SGI,55.12877442273536,5,,82,,,88.06584362139917,75.78947368421052,88.06584362139917,5.592503022974601
DBSDY,55.06110937010341,6,,75,1,,96.79658302189004,96.79658302189004,96.79658302189004,8.043654001616813
KT,54.80916030534353,5,,82,,,93.61702127659564,93.61702127659564,93.61702127659564,5.982905982905989
LOPE,54.77848343408065,5,,77,,,94.3013100436681,92.08937198067632,93.39233038348081,9.083708727290727
BFC,54.5974025974026,6,,81,,291.63,96.05418138987042,87.95240456122953,87.95240456122953,3.688489516474102
RRC,53.719311102968135,5,,73,,,90.9316770186335,85.17618469015797,90.9316770186335,5.970528455284557
EQH,53.59297860669226,5,,81,,,95.54597701149423,78.25311942958999,95.54597701149423,6.420021762785636
MYFW,52.574002574002584,6,,71,,130.53,89.06976744186042,81.48734177215188,88.12095032397401,5.230914231856736
MURGY,51.77610333692143,5,,77,,,98.92307692307683,87.3239436619718,87.3239436619718,2.7047332832456887
DNKEY,51.37376879212028,6,1,84,,,92.5806451612903,86.87350835322194,86.87350835322194,4.452054794520548
DBD,50.741926098341594,5,,77,,,82.12039532794248,77.48226950354612,77.48226950354612,7.684805929393416
ESLOY,50.33362344067306,5,,72,,,94.88372093023258,70.9533128319821,94.88372093023258,3.1954473521489857
TELNY,49.38388625592416,5,,81,,,91.12426035502958,81.43322475570032,91.12426035502958,2.613855035279029
PCLB,49.31751509922348,5,,73,,,100.0,100.0,100.0,2.870397216584523
DMYY,49.23076923076922,7,,88,1,391.59,100.0,89.15662650602417,100.0,9.793814432989688
UVV,48.99314007523789,7,,75,1,53.59,96.04519774011298,96.04519774011298,96.04519774011298,13.01431127012522
CM,48.71249201957862,5,,81,,,96.14093959731548,93.24675324675322,93.24675324675322,2.604920405209837
KBCSY,48.63532700654748,5,,83,,,84.05197873597163,79.48523845571536,84.05197873597163,2.8905167293605243
GHC,48.6090775988287,5,,72,,,83.79233479542673,83.79233479542673,83.79233479542673,3.976621356043238
GTPS,47.78325123152709,5,,82,,,100.0,100.0,100.0,2.631578947368421
IBDRY,47.63973928500888,5,,84,,,98.48812095032397,84.13284132841324,84.13284132841324,2.160953800298061
SWDBY,47.51469802244789,5,,76,,,87.16216216216228,87.05882352941177,87.05882352941177,5.307971014492753
AAMI,46.946386946386944,5,,84,,,85.35714285714286,85.35714285714286,85.35714285714286,6.904231625835183
AMADY,46.92147186433941,5,,75,,,88.29663962920029,83.10463121783877,83.10463121783877,2.8993116322482786
HBCP,46.78720445062587,6,,78,,139.39,85.59423769507801,81.99445983379498,83.0841121495327,4.703595724003891
TT,46.43971155458663,5,,81,,,97.24236431553506,97.24236431553506,97.24236431553506,3.1372639019576374
DANOY,45.74649050371594,6,,77,,60.42,98.23008849557526,85.9315589353612,88.7218045112783,3.356481481481492
ADRNY,45.645543883429326,5,,78,,,92.34693877551027,92.34693877551027,92.34693877551027,3.4369114877589304
NRDBY,44.367530412326076,7,1,75,,88.35,98.61751152073735,98.61751152073735,98.61751152073735,2.667116812964222
ING,44.29708222811672,6,1,77,,,96.02272727272725,81.73913043478255,89.20086393088559,2.380952380952388
SPR,44.14814814814815,5,,79,,,94.20600858369106,92.73182957393486,92.73182957393486,3.905447070914705
BAP,43.765903307888024,5,,80,,,88.86332259549026,87.28789186079956,87.28789186079956,4.942137508509184
LZAGY,43.70588235294119,5,,76,,,91.57782515991492,91.57782515991492,91.57782515991492,2.800400057151013
LSBK,43.64406779661015,6,,72,1,,81.74807197943443,80.28169014084511,81.74807197943443,1.7034700315457385
EADSY,42.99120234604105,6,,74,,62.45,89.10256410256409,80.39430449069005,83.57142857142863,6.5164068908941735
ADP,42.66009426211787,5,,72,,,92.386685552408,92.386685552408,92.386685552408,3.6765374473373122
KRYAY,42.48200984724152,5,,72,,,82.14990138067058,70.10688042752172,77.2678762006403,2.6190689747959475
PLPC,42.09705531602605,6,,80,,236.31,92.39232945614594,75.21066039584561,92.39232945614594,8.867738759435504
CICHY,41.904047976011995,5,,82,,,90.17857142857143,89.58333333333329,89.58333333333329,6.708927628103538
TLGPY,41.872791519434614,5,,83,,,85.71428571428564,85.71428571428564,85.71428571428564,2.521793275217929
BMO,41.72512340867756,5,,77,,,100.0,100.0,100.0,2.0439963336388542
SLF,41.26265890971775,5,,78,,,96.00967351874246,89.06752411575563,89.06752411575563,2.303233679072613
FHI,40.58898847631243,5,,73,,,94.42934782608691,94.42934782608691,94.42934782608691,2.601969057665259
HCMLY,40.490081680280035,5,,73,,,93.11224489795912,86.97674418604662,86.97674418604662,6.423982869379015
MKL,38.40633655929122,5,,74,,,92.4507251766455,92.4507251766455,92.4507251766455,3.7987383142053672
CTAS,35.276761477634835,5,,73,,,94.8640483383686,83.24924318869832,83.24924318869832,2.8659919734775876
NTB,32.00849514563106,5,,79,,,90.31791907514457,90.31791907514457,90.31791907514457,4.895426338772686
